COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8,T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, MARKER_HARDWARE, ES_TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
60,0,0,4637.69230769231,4154.23076923077,4335.25641025641,4098.33333333333,4162.05128205128,4159.74358974359,4154.35897435897,4189.74358974359,4181.66666666667,4186.92307692308,4136.66666666667,4336.92307692308,4184.35897435897,4605.38461538462,5004,2816,0.625844157359027,0,0.539461731910706,0,0,0,0,
61,0,0,4616.92307692308,4154.74358974359,4335,4096.53846153846,4161.15384615385,4154.61538461538,4152.05128205128,4186.53846153846,4183.33333333333,4186.66666666667,4135,4348.58974358974,4185,4612.69230769231,5004,2816,0.633624378005205,0,0.539461731910706,0,0,0,0,
62,0,0,4597.30769230769,4155.12820512821,4333.07692307692,4099.61538461538,4165,4157.05128205128,4156.53846153846,4181.66666666667,4182.94871794872,4187.4358974359,4134.74358974359,4352.5641025641,4185.64102564103,4617.30769230769,5004,2816,0.641504598651383,0,0.539461731910706,0,0,0,0,
63,0,0,4617.94871794872,4151.41025641026,4338.07692307692,4092.5641025641,4160.64102564103,4153.71794871795,4157.17948717949,4183.97435897436,4184.48717948718,4194.74358974359,4133.20512820513,4357.05128205128,4183.97435897436,4621.53846153846,5004,2816,0.649384819297561,0,0.539461731910706,0,0,0,0,
64,0,129,4627.4358974359,4154.8717948718,4324.23076923077,4096.28205128205,4161.53846153846,4155.51282051282,4156.53846153846,4192.4358974359,4186.41025641026,4193.71794871795,4134.35897435897,4356.92307692308,4186.02564102564,4616.53846153846,4044,3072,0.657165039943739,0,0.664945244789124,0,0,0,0,
65,0,43,4631.15384615385,4153.84615384615,4346.41025641026,4094.35897435898,4160.25641025641,4152.69230769231,4158.58974358974,4187.30769230769,4183.71794871795,4184.10256410256,4130.76923076923,4377.05128205128,4184.8717948718,4628.20512820513,4044,3072,0.664945260589917,0,0.664945244789124,0,0,0,0,
66,0,0,4629.23076923077,4151.92307692308,4355.25641025641,4097.5641025641,4163.97435897436,4151.79487179487,4153.07692307692,4184.8717948718,4183.84615384615,4184.74358974359,4130.25641025641,4380.51282051282,4182.5641025641,4627.17948717949,4044,3072,0.672825481236095,0,0.664945244789124,0,0,0,0,
67,0,39,4651.79487179487,4150.25641025641,4341.02564102564,4100.12820512821,4161.15384615385,4152.94871794872,4158.07692307692,4186.92307692308,4184.61538461538,4190,4133.71794871795,4378.71794871795,4180.89743589744,4626.79487179487,4044,3072,0.680805701882273,0,0.664945244789124,0,0,0,0,
68,0,121,4670.38461538462,4157.4358974359,4330.51282051282,4107.94871794872,4162.30769230769,4163.33333333333,4165.51282051282,4186.41025641026,4185.12820512821,4190.51282051282,4136.53846153846,4390.76923076923,4185.64102564103,4629.23076923077,2956,3264,0.688585922528451,0,0.664945244789124,0,0,0,0,
69,0,142,4673.71794871795,4161.28205128205,4341.41025641026,4107.17948717949,4165,4166.15384615385,4170.76923076923,4184.35897435897,4187.69230769231,4191.28205128205,4136.02564102564,4394.8717948718,4188.20512820513,4632.94871794872,2956,3264,0.69636614317463,0,0.664945244789124,0,0,0,0,
70,0,0,4660.12820512821,4165.76923076923,4333.07692307692,4113.46153846154,4172.4358974359,4166.15384615385,4156.02564102564,4183.71794871795,4188.58974358974,4192.17948717949,4136.53846153846,4360.76923076923,4185.89743589744,4618.71794871795,2956,3264,0.704246363820808,0,0.664945244789124,0,0,0,0,
71,0,4,4652.30769230769,4166.92307692308,4321.02564102564,4120,4174.8717948718,4171.28205128205,4149.48717948718,4180.51282051282,4184.48717948718,4191.53846153846,4135.64102564103,4337.05128205128,4185.89743589744,4606.28205128205,2956,3264,0.712226584466986,0,0.664945244789124,0,0,0,0,
72,0,0,4670.12820512821,4163.58974358974,4342.5641025641,4114.74358974359,4169.10256410256,4171.92307692308,4146.79487179487,4174.74358974359,4182.05128205128,4190.38461538462,4132.5641025641,4355.64102564103,4184.10256410256,4612.5641025641,1740,3264,0.720106805113164,0,0.664945244789124,0,0,0,0,
73,0,0,4662.17948717949,4163.46153846154,4344.74358974359,4114.10256410256,4171.28205128205,4169.61538461538,4153.58974358974,4172.94871794872,4183.84615384615,4191.02564102564,4131.53846153846,4351.66666666667,4179.74358974359,4608.33333333333,1740,3264,0.728087025759342,0,0.664945244789124,0,0,0,0,
74,0,0,4669.8717948718,4163.07692307692,4346.02564102564,4108.46153846154,4168.97435897436,4164.48717948718,4154.48717948718,4173.97435897436,4185.64102564103,4190.64102564103,4128.33333333333,4328.97435897436,4176.41025641026,4602.05128205128,1740,3264,0.73596724640552,0,0.664945244789124,0,0,0,0,
75,0,114,4679.61538461539,4160.76923076923,4353.97435897436,4101.92307692308,4167.30769230769,4165.12820512821,4151.79487179487,4173.84615384615,4186.02564102564,4191.79487179487,4127.69230769231,4318.07692307692,4174.35897435897,4597.4358974359,1740,3264,0.743847467051698,0,0.664945244789124,0,0,0,0,
